Month,Network,Cov_site,District,Issue,Number_ofCell,Downtime_hour,count_Celldown,AV_down,Type
20220131,2G,VTE0006_BORNANGUA,Chanthabouri,AC Power,3,10.25,6,1.708333333,Down
20220131,2G,VTE0009_DONDENG,Chanthabouri,BTS,3,0.8,3,0.266666667,Down
20220131,2G,VTE0033_NONGTHA_TAI,Chanthabouri,AC Power,3,1.45,3,0.483333333,Down
20220131,2G,VTE0048_SHOPPINGMALL,Sisattanak,AC Power,1,18.18333333,1,18.18333333,Down
20220131,2G,VTE0064_WATCHAN,Chanthabouri,AC Power,3,5.15,3,1.716666667,Down
20220131,2G,VTE0069_ANGYAI,Sikhottabong,AC Power,3,0.8,3,0.266666667,Down
20220131,2G,VTE0106_NONGNIEWNEW,Sikhottabong,EQUIPMENT,3,3.55,3,1.183333333,Down
20220131,2G,VTE0111_NONGTENGNEUA2,Sikhottabong,AC Power,3,0.85,3,0.283333333,Down
20220131,2G,VTE0115_NONSAWANG,Sikhottabong,AC Power,2,23.23333333,4,5.808333333,Down
20220131,2G,VTE0155_AMONE,Xaisettha,AC Power,3,6.2,3,2.066666667,Down
20220131,2G,VTE0181_ITECC_OUTDOOR,Xaisettha,AC Power,2,5.166666667,10,0.516666667,Down
20220131,2G,VTE0181_ITECC_OUTDOOR,Xaisettha,OPTIC,2,12.3,2,6.15,Down
20220131,2G,VTE0192_MEUANG_NOY,Xaisettha,AC Power,3,6.4,6,1.066666667,Down
20220131,2G,VTE0223_SAMKHE2,Xaisettha,AC Power,3,1.65,3,0.55,Down
20220131,2G,VTE0225_SENGSAWANG,Xaisettha,AC Power,3,1.8,3,0.6,Down
20220131,2G,VTE0231_THATLUANG,Xaisettha,AC Power,3,0.7,3,0.233333333,Down
20220131,2G,VTE0238_XIENGDA,Xaisettha,AC Power,3,1.6,3,0.533333333,Down
20220131,2G,VTE0239_XIENGDA2,Xaisettha,AC Power,3,10.3,6,1.716666667,Down
20220131,2G,VTE0246_XOK_YAI,Xaisettha,AC Power,3,3.5,3,1.166666667,Down
20220131,2G,VTE0250_CHOMCHENG,Sisattanak,AC Power,2,1.6,2,0.8,Down
20220131,2G,VTE0260_DONGSAVAT,Sisattanak,AC Power,3,2.6,3,0.866666667,Down
20220131,2G,VTE0266_DONKOY4,Sisattanak,AC Power,3,2.6,3,0.866666667,Down
20220131,2G,VTE0331_DONGXIENGDY,Naxaythong,AC Power,2,10.36666667,6,1.727777778,Down
20220131,2G,VTE0331_DONGXIENGDY,Naxaythong,BTS,2,0.933333333,2,0.466666667,Down
20220131,2G,VTE0333_HINKHANNA,Naxaythong,EQUIPMENT,3,0.65,3,0.216666667,Down
20220131,2G,VTE0340_NANGA,Naxaythong,AC Power,3,1.9,3,0.633333333,Down
20220131,2G,VTE0350_NAMXUANG,Naxaythong,AC Power,3,5.7,12,0.475,Down
