Period,Site_Code,Cov_Site,District,Operator, Sub , Volume ,site_status
20220131,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"27,938","9,697,527",normal
20220131,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"5,318","2,157,907",normal
20220228,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"24,639","9,557,249",normal
20220228,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"4,652","2,244,680",normal
20220331,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"26,680","9,895,690",normal
20220331,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"5,158","2,485,936",normal
20220430,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"26,503","9,694,035",normal
20220430,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"5,361","2,304,368",normal
20220531,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"30,289","11,012,912",normal
20220531,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"5,800","2,776,824",normal
20220630,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"30,578","11,276,329",normal
20220630,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"5,715","2,673,312",normal
20220731,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"34,517","12,179,263",normal
20220731,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"6,395","2,475,290",normal
20220831,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"34,454","12,853,341",normal
20220831,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"6,416","2,507,800",normal
20220930,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"31,461","12,195,293",normal
20220930,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"5,920","2,494,591",normal
20221031,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"38,398","12,745,511",normal
20221031,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"6,837","2,528,246",normal
20221130,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"36,786","13,470,772",normal
20221130,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"6,473","2,832,166",normal
20221231,VTE0001,VTE0001_LTC_HQ,Chanthabouri,LTC,"36,551","12,985,337",normal
20221231,VTE0001,VTE0001_LTC_HQ,Chanthabouri,Tplus,"6,455","2,676,209",normal
20220131,VTE0002,VTE0002_SAYLOM,Chanthabouri,LTC,"77,344","18,398,105",normal
20220131,VTE0002,VTE0002_SAYLOM,Chanthabouri,Tplus,"15,132","4,969,644",normal
20220228,VTE0002,VTE0002_SAYLOM,Chanthabouri,LTC,"72,691","18,952,654",normal
20220228,VTE0002,VTE0002_SAYLOM,Chanthabouri,Tplus,"14,214","5,344,860",normal
20220331,VTE0002,VTE0002_SAYLOM,Chanthabouri,LTC,"79,365","24,331,489",normal
20220331,VTE0002,VTE0002_SAYLOM,Chanthabouri,Tplus,"16,225","6,553,623",normal
