Period,Cod_Site,Site_Name,District,Sub,Volume,Data_Rev,Voice_Rev,Total_rev,Refilled_Sub,Refilled_Amount,Pack_Sub,Pack_Amount,Downtime_hour,Count_Downtime,AVG_Downtime,Rev_loss,Distance(KM),Access_Time_minute,Backup_time_minute
20230131,VTE0363,VTE0363_NAXAP_EW,Naxaythong,49380,5485736,9988579,2312392,12300971,515,29270000,220,8040000,0,0,0,0,41,50,120
20230131,VTE0630,VTE0630_THANA,Hatxayfong,43291,31455580,69604755,4314335,73919090,885,50700000,1375,51073000,0.274509941,0.411764706,0.666667,27273.55529,16,30,160
20230131,VTE0700,VTE0700_NANGARM_MAI,Pak-Ngum,16698,9308680,16099745,8079479,24179224,913,40400000,243,9728000,0,0,0,0,65,100,30
20230131,VTE0232,VTE0232_THATLUANG_SATTAWAT21,Xaisettha,104212,9332377,21281406,5865251,27146657,728,32610000,711,14815000,0.417592389,0.611111111,0.683333,15236.87798,,,
20230131,VTE0249,VTE0249_BUS_STATION,Sisattanak,184262,25592436,55931601,31514301,87445902,4807,202410000,2178,48986000,0,0,0,0,1,6,60
20230131,VTE0444,VTE0444_KM24_PHAILOM,Xaithani,27570,33455150,60099204,2294974,62394178,950,58610000,1026,49075000,0,0,0,0,24,50,240
20230131,VTE0525,VTE0525_SAPHANGKANONG,Xaithani,49611,22957547,41051526,4011296,45062822,1041,63060000,762,28575000,0.933333,1,0.933333,56530.40108,20,35,120
20230131,VTE0590,VTE0590_KHOKXAY,Hatxayfong,16644,21809728,40924959,2277396,43202355,836,64490000,725,39097000,0.3500002,1,0.3500002,20323.70011,12,30,0
20230131,VTE0093,VTE0093_NAMPAPAKAOLIEW,Sikhottabong,46276,18316044,35812276,3648330,39460606,694,31900000,904,28842000,0,0,0,0,13,40,60
20230131,VTE0342,VTE0342_NAKHAR_EW,Naxaythong,63711,1809667,3098963,567506,3666469,128,5480000,69,2213000,0,0,0,0,38,42,120
20230131,VTE0136,VTE0136_THONGPONG_HOSPITAL,Sikhottabong,82287,28749284,56806154,7143437,63949591,1374,60420000,1652,45149000,0,0,0,0,13,40,120
20230131,VTE0375,VTE0375_PHONKEO,Naxaythong,17915,28195108,50957790,6950357,57908147,1150,69740000,931,42060000,0,0,0,0,17,40,120
20230131,VTE0419,VTE0419_DONGDOK_DORMITORY,Xaithani,44254,26694536,40692850,3801400,44494250,1005,43500000,790,26147000,0.628788636,0.454545455,1.383335,37604.13857,10,31,0
20230131,VTE0715,VTE0715_PALAI,Pak-Ngum,13163,23280766,32511034,7445092,39956126,1232,81320000,402,19247000,0,0,0,0,30,45,120
20230131,VTE0333,VTE0333_HINKHANNA,Naxaythong,5992,1455723,2558077,2159660,4717737,237,9600000,85,2446000,0.63846,0.461538462,1.38333,4048.502944,23,44,45
