month,Network,Site_Code,Cov_Site,District,Sub,Volume,Revenue,Downtime_hour ,Number_ofCell,Count_site_down,avg_down_hour ,Revloss
20220131,2G,VTE0006,VTE0006_BORNANGUA,Chanthabouri,2828,2964,4726700.426,3,3,2,1.71,21706
20220131,2G,VTE0033,VTE0033_NONGTHA_TAI,Chanthabouri,6150,8973,9735495.603,0,3,1,0.48,6325
20220131,2G,VTE0048,VTE0048_SHOPPINGMALL,Sisattanak,632,248,368094.8096,18,1,1,18.18,8996
20220131,2G,VTE0064,VTE0064_WATCHAN,Chanthabouri,12836,15334,6328274.536,2,3,1,1.72,14602
20220131,2G,VTE0069,VTE0069_ANGYAI,Sangthong,16386,17774,4302395.518,0,3,1,0.27,1542
20220131,2G,VTE0111,VTE0111_NONGTENGNEUA2,Sikhottabong,8560,14094,9965708.855,0,3,1,0.28,3795
20220131,2G,VTE0115,VTE0115_NONSAWANG,Sikhottabong,6804,8877,12088723.34,12,2,2,5.81,188751
20220131,2G,VTE0155,VTE0155_AMONE,Xaisettha,3974,6125,6542377.313,2,3,1,2.07,18173
20220131,2G,VTE0181,VTE0181_ITECC_OUTDOOR,Xaisettha,1240,0,1398064,3,2,5,0.52,4854
20220131,2G,VTE0192,VTE0192_MEUANG_NOY,Xaisettha,5883,17041,8714022.228,2,3,2,1.07,24986
20220131,2G,VTE0223,VTE0223_SAMKHE2,Xaisettha,6340,13131,7654858.772,1,3,1,0.55,5659
20220131,2G,VTE0225,VTE0225_SENGSAWANG,Xaisettha,6132,10563,8965544.06,1,3,1,0.6,7230
20220131,2G,VTE0231,VTE0231_THATLUANG,Xaisettha,14498,22886,14124620.17,0,3,1,0.23,4430
20220131,2G,VTE0238,VTE0238_XIENGDA,Xaisettha,9352,16916,15668565.46,1,3,1,0.53,11232
20220131,2G,VTE0239,VTE0239_XIENGDA2,Xaisettha,5802,10627,7879354.727,3,3,2,1.72,36361
20220131,2G,VTE0246,VTE0246_XOK_YAI,Xaisettha,5855,5775,6558280.009,2,2,2,1.17,15426
20220131,2G,VTE0250,VTE0250_CHOMCHENG,Sisattanak,3814,4354,6881187.999,1,2,1,0.8,7399
20220131,2G,VTE0260,VTE0260_DONGSAVAT,Sisattanak,3862,3663,8697759.014,1,3,1,0.87,10132
20220131,2G,VTE0266,VTE0266_DONKOY4,Sisattanak,6671,25785,8428932.84,1,3,1,0.87,9819
20220131,2G,VTE0331,VTE0331_DONGXIENGDY,Naxaythong,3006,6651,4788793.414,5,2,3,1.73,33363
20220131,2G,VTE0340,VTE0340_NANGA,Naxaythong,5605,4721,7474309.611,1,3,1,0.63,6363
20220131,2G,VTE0350,VTE0350_NAMXUANG,Naxaythong,8929,12985,11613526.48,2,3,4,0.48,29658
20220131,2G,VTE0351,VTE0351_NASIEW,Naxaythong,5033,11581,9400740.528,5,2,2,2.54,64230
20220131,2G,VTE0377,VTE0377_PHONKHAM_NAXAYTHONG,Naxaythong,6728,7674,12192104.32,3,3,1,3.07,50254
20220131,2G,VTE0387,VTE0387_TADXONE,Naxaythong,787,1192,777962.9627,4,2,2,1.78,3712
20220131,2G,VTE0396,VTE0396_COSMO,Xaithani,10808,16032,7505686.914,1,3,2,0.41,8239
20220131,2G,VTE0406,VTE0406_DONGMARKKHAY,Xaithani,8270,22321,14300644.94,1,3,1,0.97,18581
20220131,2G,VTE0423,VTE0423_HUAXIENG,Xaithani,5846,14443,10629482.12,1,3,1,1.18,16906
20220131,2G,VTE0432,VTE0432_KHOK_NOY,Xaithani,10320,19371,14929307.07,5,3,3,1.63,98325
20220131,2G,VTE0456,VTE0456_NABONG_SC,Xaithani,4639,10483,4722388.14,2,3,1,1.63,10367
20220131,2G,VTE0467,VTE0467_NONBORKEO,Xaithani,6225,6697,9071493.74,1,3,1,1.12,13615
20220131,2G,VTE0477,VTE0477_NONGPHAYA2,Xaithani,4471,5686,4817941.1,1,3,4,0.27,7015
20220131,2G,VTE0483,VTE0483_NONGVIENGKHAM2,Xaithani,6004,18690,12264409.57,1,3,1,1.22,20056
20220131,2G,VTE0487,VTE0487_JUMBO,Xaithani,7723,22051,12291136.92,1,3,1,1.43,23679
20220131,2G,VTE0510,VTE0510_PHONPHENG,Xaithani,6722,16392,10467007.01,1,3,1,0.63,8910
20220131,2G,VTE0535,VTE0535_TADTEVADA,Xaithani,2746,5250,7393834.821,1,2,1,0.5,4969
20220131,2G,VTE0541,VTE0541_THADORKKHAM,Xaithani,4735,9900,6906196.308,0,3,1,0.45,4177
20220131,2G,VTE0544,VTE0544_THANGON,Xaithani,11539,19369,22330172.93,0,3,1,0.3,9004
20220131,2G,VTE0561,VTE0561_BEERLAO,Hatxayfong,6783,19028,8065691.219,9,3,7,1.35,102809
20220131,2G,VTE0567,VTE0567_DONFAY,Hatxayfong,4258,21762,9228963.572,6,3,3,1.85,68845
20220131,2G,VTE0576,VTE0576_DONGPHONHEA,Hatxayfong,6962,10339,8552798.19,5,3,5,1.09,62652
20220131,2G,VTE0579,VTE0579_DONGPHONLAO,Hatxayfong,4314,11964,7704371.5,3,3,2,1.67,34518
20220131,2G,VTE0580,VTE0580_DONHOR,Hatxayfong,4984,12695,7641128.133,4,3,3,1.28,39541
20220131,2G,VTE0588,VTE0588_KEANGYANG,Hatxayfong,2937,8911,4905239.829,0,3,1,0.37,2417
20220131,2G,VTE0592,VTE0592_KM8_SOMVANG,Hatxayfong,3235,0,11578713,0,3,1,0.38,5966
20220131,2G,VTE0595,VTE0595_NAHAI,Hatxayfong,4391,5467,6833677.553,3,3,1,3.42,31382
20220131,2G,VTE0600,VTE0600_NONGHAI,Hatxayfong,3608,0,10359031,0,3,1,0.17,2321
20220131,2G,VTE0603,VTE0603_NONGHAI2,Hatxayfong,2284,0,8205840,0,3,1,0.17,1838
20220131,2G,VTE0604,VTE0604_NONGHEO,Hatxayfong,4155,6310,6300260.772,3,3,1,3.1,26251
