Site_Code,LTC_Or_MC,Distance_KM,Site_Access_Time,CountOf_Batt, TotalCapOf_Batt ,Batt_BackupTime,CountOf_GEN,CapOf_GEN,LoadAC,LoadDC
VTE0154,MC_THANGON To Site,17,30,2,200,120,0,0, 12 ,48
VTE0319,MC_THANGON To Site,13,35,2,200,60,0,0, 11 ,46
VTE0347,MC_THANGON To Site,20,40,2,200,30,0,0, 10 ,43
VTE0388,MC_THANGON To Site,18,45,2,200,10,0,0, 10 ,41
VTE0389,MC_THANGON To Site,3,7,2,200,60,0,0, 12 ,48
VTE0392,MC_THANGON To Site,3,7,2,200,10,0,0, 11 ,47
VTE0393,MC_THANGON To Site,14,35,4,200,70,0,0, 18 ,75
VTE0394,MC_THANGON To Site,15,35,2,200,180,0,0, 13 ,53
VTE0397,MC_THANGON To Site,8,10,1,500,180,0,0, 16 ,65
VTE0398,MC_THANGON To Site,10,31,2,200,20,0,0, 12 ,51
VTE0399,MC_THANGON To Site,17,40,1,500,120,0,0, 16 ,65
VTE0400,MC_THANGON To Site,17,40,2,200,45,0,0, 13 ,55
VTE0405,MC_THANGON To Site,32,60,2,200,30,0,0, 10 ,42
VTE0406,MC_THANGON To Site,13,32,2,200,30,0,0, 13 ,53
VTE0407,MC_THANGON To Site,14,35,2,200,20,0,0, 15 ,61
VTE0408,MC_THANGON To Site,17,40,2,200,180,0,0, 9 ,37
VTE0409,MC_THANGON To Site,13,31,2,200,180,0,0, 10 ,39
VTE0410,MC_THANGON To Site,11,31,1,500,120,1,25, 18 ,72
VTE0411,MC_THANGON To Site,12,31,2,200,35,0,0, 13 ,52
VTE0412,MC_THANGON To Site,13,31,2,200,180,0,0, 11 ,47
VTE0413,MC_THANGON To Site,15,35,2,200,10,0,0, 11 ,45
VTE0414,MC_THANGON To Site,13,31,2,200,0,0,0, 10 ,41
VTE0415,MC_THANGON To Site,9,13,4,200,180,0,0, 9 ,35
VTE0416,MC_THANGON To Site,11,31,2,200,120,0,0, 15 ,63
VTE0417,MC_THANGON To Site,13,31,2,200,30,0,0, 10 ,39
VTE0418,MC_THANGON To Site,14,35,2,200,240,0,0, 10 ,41
VTE0420,MC_THANGON To Site,30,60,2,200,60,0,0, 10 ,42
VTE0421,MC_THANGON To Site,10,31,2,200,35,0,0, 14 ,56
VTE0422,MC_THANGON To Site,9,31,2,200,50,0,0, 10 ,42
VTE0423,MC_THANGON To Site,28,50,2,200,10,0,0, 10 ,43
VTE0424,MC_THANGON To Site,11,31,2,200,10,0,0, 10 ,41
VTE0425,MC_THANGON To Site,52,90,2,200,120,0,0, 9 ,38
VTE0426,MC_THANGON To Site,16,35,2,200,10,0,0, 12 ,49
VTE0427,MC_THANGON To Site,22,45,2,200,180,0,0, 13 ,53
VTE0432,MC_THANGON To Site,14,35,2,200,20,0,0, 14 ,58
VTE0436,MC_THANGON To Site,21,40,2,200,60,0,0, 13 ,52
VTE0439,MC_THANGON To Site,22,40,2,200,20,0,0, 13 ,55
VTE0440,MC_THANGON To Site,19,35,2,200,180,0,0, 11 ,46
VTE0441,MC_THANGON To Site,20,40,2,200,30,0,0, 11 ,47
VTE0442,MC_THANGON To Site,17,35,2,200,60,0,0, 10 ,42
VTE0443,MC_THANGON To Site,20,35,1,500,60,0,0, 15 ,62
VTE0444,MC_THANGON To Site,22,40,2,200,240,0,0, 11 ,44
VTE0445,MC_THANGON To Site,25,42,6,600,300,0,0, 13 ,52
VTE0446,MC_THANGON To Site,27,45,0,0,0,0,0, 9 ,37
VTE0447,MC_THANGON To Site,23,40,2,200,30,0,0, 10 ,42
VTE0448,MC_THANGON To Site,24,40,2,200,20,0,0, 11 ,45
VTE0452,MC_THANGON To Site,10,20,2,200,10,0,0, 12 ,48
VTE0453,MC_THANGON To Site,12,30,2,200,20,0,0, 10 ,41
VTE0456,MC_THANGON To Site,28,50,2,200,30,0,0, 15 ,61
VTE0457,MC_THANGON To Site,40,80,2,200,30,0,0, 10 ,43
VTE0458,MC_THANGON To Site,42,80,2,200,120,0,0, 10 ,39
VTE0459,MC_THANGON To Site,13,28,2,200,120,0,0, 12 ,48
VTE0460,MC_THANGON To Site,19,40,2,200,30,0,0, 9 ,38
VTE0461,MC_THANGON To Site,47,90,2,200,180,0,0, 10 ,41
VTE0462,MC_THANGON To Site,26,40,4,200,90,0,0, 10 ,41
VTE0463,MC_THANGON To Site,15,31,2,200,60,0,0, 10 ,41
